"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.314372375E0,1.070274353E-1,2.990780640E-1,9.785600739E0
1.324385375E0,9.774673462E-2,2.969824219E-1,9.769883423E0
1.334398375E0,1.106199646E-1,2.966830444E-1,9.776619415E0
1.344412375E0,1.080752563E-1,2.941383362E-1,9.787397003E0
1.354425375E0,1.106199646E-1,2.968327332E-1,9.777068481E0
1.364438375E0,1.128652954E-1,2.906954956E-1,9.760453033E0
1.374452375E0,1.089733887E-1,2.808160400E-1,9.771080933E0
1.384465375E0,1.100212097E-1,3.043171692E-1,9.779164124E0
1.394479375E0,1.157093811E-1,2.939886475E-1,9.782606964E0
1.404492375E0,1.110690308E-1,2.877017212E-1,9.776320038E0
1.414505375E0,1.091230774E-1,2.923420715E-1,9.763446808E0
1.424519375E0,1.100212097E-1,2.951861572E-1,9.768087158E0
1.434532375E0,1.127156067E-1,2.999761963E-1,9.781110077E0
1.444545375E0,1.056802368E-1,2.941383362E-1,9.765991516E0
1.454559375E0,1.137634277E-1,2.947370911E-1,9.777517548E0
1.464572375E0,1.025367737E-1,3.052153015E-1,9.787247314E0
1.474585375E0,1.143621826E-1,3.065625000E-1,9.764344940E0
1.484599375E0,1.104702759E-1,2.951861572E-1,9.781110077E0
1.494612375E0,1.113684082E-1,2.899470520E-1,9.774823151E0
1.504625375E0,1.190025330E-1,2.903961182E-1,9.771679688E0
1.514639375E0,1.131646729E-1,2.897973633E-1,9.781858521E0
1.524652375E0,1.047821045E-1,3.065625000E-1,9.775721283E0
1.534665375E0,1.079255676E-1,3.026705933E-1,9.780511322E0
1.544679375E0,1.017883301E-1,2.926414490E-1,9.780211945E0
1.554692375E0,1.091230774E-1,3.077600098E-1,9.782457275E0
1.564705375E0,1.083746338E-1,3.005749512E-1,9.784103851E0
1.574719375E0,1.053808594E-1,2.912942505E-1,9.770781555E0
1.584732375E0,1.221459961E-1,2.909948730E-1,9.783505096E0
1.594746375E0,1.085243225E-1,2.957849121E-1,9.773176575E0
1.604759375E0,1.098715210E-1,3.002755737E-1,9.779313812E0
1.614772375E0,1.022373962E-1,2.929408264E-1,9.787097626E0
1.624786375E0,1.070274353E-1,3.091072083E-1,9.770033112E0
1.634799375E0,1.043330383E-1,2.884501648E-1,9.771679688E0
1.644812375E0,1.154100037E-1,3.046165466E-1,9.773326263E0
1.654826375E0,1.106199646E-1,3.011737061E-1,9.767937469E0
1.664839375E0,1.142124939E-1,2.908451843E-1,9.764494629E0
1.674852375E0,1.175056458E-1,2.977308655E-1,9.766290894E0
1.684866375E0,1.199006653E-1,2.993774414E-1,9.773925018E0
1.694879375E0,1.139131165E-1,2.984793091E-1,9.775721283E0
1.704892375E0,1.166075134E-1,2.944377136E-1,9.779313812E0
1.714906375E0,1.151106262E-1,2.899470520E-1,9.779463501E0
1.724919375E0,9.684860229E-2,2.912942505E-1,9.784403229E0
1.734932375E0,1.173559570E-1,2.944377136E-1,9.761650543E0
1.744946375E0,1.134640503E-1,3.014730835E-1,9.771979065E0
1.754959375E0,1.071771240E-1,3.005749512E-1,9.779014435E0
1.764972375E0,1.119671631E-1,2.974314880E-1,9.775571594E0
1.774986375E0,1.103205872E-1,2.897973633E-1,9.766290894E0
1.784999375E0,1.080752563E-1,3.055146790E-1,9.777068481E0
1.795013375E0,1.043330383E-1,2.974314880E-1,9.772128754E0
1.805026375E0,1.121168518E-1,3.073109436E-1,9.765392761E0
1.815039375E0,1.167572021E-1,2.971321106E-1,9.774224396E0
1.825053375E0,1.140628052E-1,2.833607483E-1,9.767488403E0
1.835066375E0,1.170565796E-1,2.962339783E-1,9.771679688E0
1.845079375E0,1.082249451E-1,2.884501648E-1,9.771829376E0
1.855093375E0,1.169068909E-1,2.830613708E-1,9.765991516E0
1.865106375E0,1.124162292E-1,2.927911377E-1,9.775421906E0
1.875119542E0,1.142124939E-1,2.966830444E-1,9.775421906E0
1.885133542E0,1.130149841E-1,2.987786865E-1,9.778116302E0
1.895146542E0,1.089733887E-1,3.005749512E-1,9.760602722E0
1.905159542E0,1.053808594E-1,3.013233948E-1,9.761800232E0
1.915173542E0,1.097218323E-1,3.022215271E-1,9.779313812E0
1.925186542E0,1.148112488E-1,2.984793091E-1,9.773176575E0
1.935199542E0,1.097218323E-1,3.126997375E-1,9.779014435E0
1.945213542E0,1.046324158E-1,2.942880249E-1,9.774673462E0
1.955226542E0,1.067280579E-1,2.942880249E-1,9.773775330E0
1.965240542E0,9.385482788E-2,2.841091919E-1,9.785750427E0
1.975253542E0,1.043330383E-1,2.903961182E-1,9.785301361E0
1.985266542E0,1.133143616E-1,2.926414490E-1,9.771380310E0
1.995280542E0,1.236428833E-1,3.140469360E-1,9.768536224E0
2.005293542E0,1.113684082E-1,2.995271301E-1,9.774374084E0
2.015306542E0,1.101708984E-1,2.996768188E-1,9.771080933E0
2.025320542E0,1.142124939E-1,2.999761963E-1,9.771679688E0
2.035333542E0,1.070274353E-1,3.070115662E-1,9.781559143E0
2.045346542E0,1.107696533E-1,3.122506714E-1,9.782008209E0
2.055360542E0,1.091230774E-1,3.047662354E-1,9.779313812E0
2.065373542E0,1.164578247E-1,2.971321106E-1,9.764794006E0
2.075386542E0,1.148112488E-1,3.050656128E-1,9.782457275E0
2.085400542E0,1.127156067E-1,2.968327332E-1,9.772278442E0
2.095413542E0,1.124162292E-1,2.999761963E-1,9.767338715E0
2.105426542E0,1.059796143E-1,3.050656128E-1,9.766739960E0
2.115440542E0,1.139131165E-1,3.058140564E-1,9.776469727E0
