"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.736184375E0,-2.496312372E-4,-1.002159202E-3,1.501550432E-4
1.746198375E0,1.053741667E-3,-5.082304124E-4,-2.015988808E-3
1.756211375E0,-1.404196955E-4,8.097679820E-4,-4.729530774E-4
1.766224375E0,-1.671910286E-4,7.093669847E-4,-5.427980796E-4
1.776238375E0,-1.111015212E-3,-8.589685895E-4,-2.996511757E-4
1.786251375E0,2.760211937E-4,-6.160731427E-4,1.106017735E-4
1.796265375E0,6.424719468E-4,-7.050228305E-4,1.015810296E-3
1.806278375E0,-1.170177478E-3,6.129057147E-4,1.691811718E-3
1.816291375E0,-9.632497095E-4,2.459222451E-4,3.770091571E-4
1.826305375E0,1.331414096E-3,-9.071032982E-4,3.376412205E-4
1.836318375E0,-7.674233057E-4,4.263417795E-4,7.067553233E-4
1.846331375E0,1.433453057E-3,6.073864643E-4,-2.583982423E-4
1.856345375E0,9.689973667E-4,2.044502180E-4,-5.803741515E-4
1.866358375E0,8.185789920E-4,3.790974151E-4,1.076164190E-4
1.876371542E0,-7.494902238E-4,-1.481120475E-3,-1.940088347E-3
1.886385542E0,-2.930262126E-4,-3.084710333E-4,1.551802270E-4
1.896398542E0,-7.002237253E-4,-4.054100718E-4,1.658001915E-3
1.906411542E0,9.268568829E-4,-7.531407755E-4,6.404099986E-5
1.916425542E0,-4.505300894E-4,1.645844895E-4,1.222249819E-3
1.926438542E0,1.163315028E-5,2.875321079E-4,-1.576954965E-3
1.936451542E0,-5.753277801E-4,-9.271355812E-4,3.956484143E-4
1.946465542E0,9.375293739E-4,-1.237559365E-3,1.500521321E-4
1.956478542E0,-8.654305711E-4,4.242532887E-4,-5.354457535E-4
1.966492542E0,1.489417627E-4,1.560446108E-3,1.282754820E-4
1.976505542E0,4.948861897E-4,-1.112199388E-4,6.366728339E-4
1.986518542E0,1.999679953E-4,-1.718241256E-4,-9.488859214E-4
1.996532542E0,4.979758523E-4,-7.598504890E-4,-1.109474339E-3
